(274)mk_version***;		1.01;
(275)sett_version*;		0.03;
(276)serial_num_pc;		    1;
(277)complect*****;		    1;
(608)fpga_version*;		1.00;
tconv_start**t=UTC Mon Sep 11 14:10:35 2023
var_name\time***s=;		    0;	   -1;	   -2;	   -3;	   -4;	   -5;	   -6;	   -7;	   -8;	   -9;	  -10;	  -11;	  -12;	  -13;	  -14;	  -15;	  -16;	  -17;	  -18;	  -19;	  -20;	  -21;	  -22;	  -23;	  -24;	  -25;	  -26;	  -27;	  -28;	  -29;	  -30;	  -31;
(664)pl->ioc*******;		    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(665)pl->iod*******;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
(666)pl->iinp_max**;		 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;	 1130;
(667)pl->iinp_ovl**;		  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;	  450;
(668)pl->ioutp_max*;		 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;	 1692;
(669)pl->ioutp_ovl*;		  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;	  800;
(670)pl->t_ovl*****;		 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;	 2.5;
(671)pl->t_gate1***;		  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;	  150;
(672)pl->t_gate0***;		   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;	   50;
(673)pl->shema**!*!;		    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
